LocationID,Date,Observer,Species,Count,Link
L3290632,2019-9-15,poshien chien,Eastern Spot-billed Duck,3,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Rock Pigeon (Feral Pigeon),10,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Oriental Turtle-Dove,6,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Red Collared-Dove,40,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Spotted Dove,8,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,White-breasted Waterhen,1,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Common Sandpiper,2,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Gray Heron,2,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Intermediate Egret,1,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Little Egret,3,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Cattle Egret,3,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Black-crowned Night-Heron,16,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,African Sacred Ibis,1,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Common Kingfisher,1,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Black Drongo,4,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Gray Treepie,3,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Oriental Magpie,4,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Plain Prinia,1,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Gray-throated Martin,1,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Barn Swallow,18,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Light-vented Bulbul,6,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Swinhoe's White-eye,4,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Black-collared Starling,2,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Common Myna,4,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Javan Myna,30,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Scaly-breasted Munia,6,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Eurasian Tree Sparrow,50,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Gray Wagtail,1,/view/checklist/S59812041
L3290632,2019-8-21,Kevin Chao,Common Sandpiper,3,/view/checklist/S59140266
L3290632,2019-8-21,Kevin Chao,White Wagtail (Chinese),3,/view/checklist/S59140266
L3290632,2019-8-15,Peter Bijlmakers,Eastern Spot-billed Duck,3,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Rock Pigeon (Feral Pigeon),15,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Oriental Turtle-Dove,8,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Red Collared-Dove,12,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,White-breasted Waterhen,1,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Common Sandpiper,3,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Gray Heron,1,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Great Egret,2,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Little Egret,10,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Cattle Egret,14,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Black-crowned Night-Heron,2,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,African Sacred Ibis,8,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Common Kingfisher,1,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Black Drongo,2,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Gray Treepie,8,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Oriental Magpie,3,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Yellow-bellied Prinia,2,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Plain Prinia,4,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Zitting Cisticola,2,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Gray-throated Martin,4,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Barn Swallow,6,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Pacific Swallow,2,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Striated Swallow,2,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Light-vented Bulbul,14,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Swinhoe's White-eye,-1,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Black-collared Starling,6,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Common Myna,-1,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Javan Myna,-1,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Oriental Magpie-Robin,1,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,White-rumped Munia,4,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Scaly-breasted Munia,4,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Eurasian Tree Sparrow,-1,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,White Wagtail,1,/view/checklist/S59001287
L6675201,2019-9-5,yaoder chen,Green-winged Teal,1,/view/checklist/S59527122
L6675201,2019-9-5,yaoder chen,Japanese Quail,1,/view/checklist/S59527122
L6675201,2019-9-5,yaoder chen,Ashy Wood-Pigeon,1,/view/checklist/S59527122
L6675201,2019-9-5,yaoder chen,Great Egret,5,/view/checklist/S59527122
L6675201,2019-9-5,yaoder chen,Little Egret,2,/view/checklist/S59527122
L6675201,2019-9-5,yaoder chen,Black-crowned Night-Heron,1,/view/checklist/S59527122
L6675201,2019-8-31,Anonymous User,Black-winged Stilt,3,/view/checklist/S59392879
L6675201,2019-8-31,Anonymous User,white egret sp.,40,/view/checklist/S59392879
L6675201,2019-8-31,Anonymous User,Black-crowned Night-Heron,15,/view/checklist/S59392879
L6675201,2019-8-31,Anonymous User,African Sacred Ibis,50,/view/checklist/S59392879
L6675201,2019-8-31,Anonymous User,black myna sp.,15,/view/checklist/S59392879
L6675201,2019-7-28,Steven Chen,Eurasian Moorhen,6,/view/checklist/S58556353
L6675201,2019-7-28,Steven Chen,Little Ringed Plover,2,/view/checklist/S58556353
L6675201,2019-7-28,Steven Chen,African Sacred Ibis,6,/view/checklist/S58556353
L6675201,2019-7-28,Steven Chen,Vinous-throated Parrotbill,2,/view/checklist/S58556353
L6675201,2019-7-14,Steven Chen,Eurasian Moorhen,3,/view/checklist/S58214987
L6675201,2019-7-14,Steven Chen,Yellow Bittern,1,/view/checklist/S58214987
L6675201,2019-7-14,Steven Chen,African Sacred Ibis,5,/view/checklist/S58214987
L6675201,2019-7-14,Steven Chen,Black-winged Kite,1,/view/checklist/S58214987
L6675201,2019-7-14,Steven Chen,Long-tailed Shrike,1,/view/checklist/S58214987
L6675201,2019-7-14,Steven Chen,Swinhoe's White-eye,1,/view/checklist/S58214987
L6675201,2019-7-14,Steven Chen,Common Myna,7,/view/checklist/S58214987
L6675201,2019-7-14,Steven Chen,Eurasian Tree Sparrow,20,/view/checklist/S58214987
L6675201,2019-7-13,Steven Chen,Common Kingfisher,1,/view/checklist/S58215128
L6675201,2019-6-30,Steven Chen,Eurasian Moorhen,1,/view/checklist/S57863416
L6675201,2019-6-30,Steven Chen,African Sacred Ibis,6,/view/checklist/S57863416
L6675201,2019-6-30,Steven Chen,Plain Prinia,1,/view/checklist/S57863416
L6675201,2019-6-30,Steven Chen,Eurasian Tree Sparrow,8,/view/checklist/S57863416
L6675201,2019-6-29,Steven Chen,Spotted Dove,1,/view/checklist/S57863507
L6675201,2019-6-29,Steven Chen,Light-vented Bulbul,2,/view/checklist/S57863507
L6675201,2019-6-8,天助 李,Spotted Dove,1,/view/checklist/S57178643
L6675201,2019-6-8,天助 李,Eurasian Moorhen,6,/view/checklist/S57178643
L6675201,2019-6-8,天助 李,Black-winged Stilt,2,/view/checklist/S57178643
L6675201,2019-6-8,天助 李,Little Egret,2,/view/checklist/S57178643
L6675201,2019-6-8,天助 李,Black-crowned Night-Heron,3,/view/checklist/S57178643
L6675201,2019-6-8,天助 李,African Sacred Ibis,4,/view/checklist/S57178643
L6675201,2019-6-8,天助 李,Barn Swallow,8,/view/checklist/S57178643
L6675201,2019-6-8,天助 李,Javan Myna,25,/view/checklist/S57178643
L6675201,2019-6-8,天助 李,Eurasian Tree Sparrow,10,/view/checklist/S57178643
L6675201,2019-6-2,Steven Chen,Vinous-throated Parrotbill,1,/view/checklist/S57885565
L6675201,2019-6-2,Steven Chen,Eurasian Tree Sparrow,15,/view/checklist/S57885565
L5569882,2019-9-1,台北市野鳥學會 活動組,Eastern Spot-billed Duck,6,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Rock Pigeon (Feral Pigeon),20,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Oriental Turtle-Dove,1,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Red Collared-Dove,3,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Eurasian Moorhen,3,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Black-winged Stilt,10,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Pacific Golden-Plover,1,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Little Ringed Plover,3,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Common Snipe,1,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Common Greenshank,20,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Wood Sandpiper,2,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Great Cormorant,1,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Gray Heron,10,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Great Egret,12,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Little Egret,2,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Cattle Egret,5,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Black-crowned Night-Heron,10,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,African Sacred Ibis,25,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Black-winged Kite,1,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Common Kingfisher,1,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Black Drongo,2,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Long-tailed Shrike,1,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Gray Treepie,1,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Plain Prinia,1,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Pacific Swallow,2,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Light-vented Bulbul,10,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Swinhoe's White-eye,5,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Black-collared Starling,1,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Common Myna,2,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Javan Myna,20,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Scaly-breasted Munia,2,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Eurasian Tree Sparrow,10,/view/checklist/S59633066
L5569882,2019-9-1,台北市野鳥學會 活動組,Eastern Yellow Wagtail,1,/view/checklist/S59633066
L7033433,2019-8-11,Bill Holland,Oriental Turtle-Dove,3,/view/checklist/S58896401
L7033433,2019-8-11,Bill Holland,Red Collared-Dove,1,/view/checklist/S58896401
L7033433,2019-8-11,Bill Holland,Great Egret,4,/view/checklist/S58896401
L7033433,2019-8-11,Bill Holland,Cattle Egret,1,/view/checklist/S58896401
L7033433,2019-8-11,Bill Holland,Black-crowned Night-Heron,4,/view/checklist/S58896401
L7033433,2019-8-11,Bill Holland,African Sacred Ibis,8,/view/checklist/S58896401
L7033433,2019-8-11,Bill Holland,Common Kingfisher,1,/view/checklist/S58896401
L7033433,2019-8-11,Bill Holland,Oriental Magpie,1,/view/checklist/S58896401
L7033433,2019-8-11,Bill Holland,Plain Prinia,6,/view/checklist/S58896401
L7033433,2019-8-11,Bill Holland,Barn Swallow,4,/view/checklist/S58896401
L7033433,2019-8-11,Bill Holland,Light-vented Bulbul,3,/view/checklist/S58896401
L7033433,2019-8-11,Bill Holland,Swinhoe's White-eye,2,/view/checklist/S58896401
L7033433,2019-8-11,Bill Holland,Common Myna,5,/view/checklist/S58896401
L7033433,2019-8-11,Bill Holland,Javan Myna,2,/view/checklist/S58896401
L7033433,2019-8-11,Bill Holland,Crested Myna,1,/view/checklist/S58896401
L7033433,2019-8-11,Bill Holland,Eurasian Tree Sparrow,17,/view/checklist/S58896401
L7033433,2019-8-7,Bill Holland,Rock Pigeon (Feral Pigeon),8,/view/checklist/S58800453
L7033433,2019-8-7,Bill Holland,Oriental Turtle-Dove,12,/view/checklist/S58800453
L7033433,2019-8-7,Bill Holland,Red Collared-Dove,1,/view/checklist/S58800453
L7033433,2019-8-7,Bill Holland,Spotted Dove,8,/view/checklist/S58800453
L7033433,2019-8-7,Bill Holland,Yellow Bittern,1,/view/checklist/S58800453
L7033433,2019-8-7,Bill Holland,Great Egret,3,/view/checklist/S58800453
L7033433,2019-8-7,Bill Holland,Little Egret,15,/view/checklist/S58800453
L7033433,2019-8-7,Bill Holland,Black-crowned Night-Heron,22,/view/checklist/S58800453
L7033433,2019-8-7,Bill Holland,African Sacred Ibis,13,/view/checklist/S58800453
L7033433,2019-8-7,Bill Holland,Plain Prinia,1,/view/checklist/S58800453
L7033433,2019-8-7,Bill Holland,Barn Swallow,4,/view/checklist/S58800453
L7033433,2019-8-7,Bill Holland,Light-vented Bulbul,9,/view/checklist/S58800453
L7033433,2019-8-7,Bill Holland,Swinhoe's White-eye,8,/view/checklist/S58800453
L7033433,2019-8-7,Bill Holland,Common Myna,4,/view/checklist/S58800453
L7033433,2019-8-7,Bill Holland,Javan Myna,2,/view/checklist/S58800453
L7033433,2019-8-7,Bill Holland,Crested Myna,2,/view/checklist/S58800453
L7033433,2019-8-7,Bill Holland,Eurasian Tree Sparrow,22,/view/checklist/S58800453
L3949628,2019-7-16,Peter Bijlmakers,Mallard (Domestic type),1,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Rock Pigeon (Feral Pigeon),-1,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Oriental Turtle-Dove,5,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Red Collared-Dove,4,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Eurasian Moorhen,2,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Yellow Bittern,3,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Great Egret,5,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Intermediate Egret,1,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Little Egret,7,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Cattle Egret,-1,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Black-crowned Night-Heron,-1,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Malayan Night-Heron,1,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,African Sacred Ibis,-1,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Oriental Honey-buzzard,1,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Common Kingfisher,1,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Taiwan Barbet,1,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Black Drongo,1,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Black-naped Monarch,5,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Gray Treepie,5,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Yellow-bellied Prinia,2,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Plain Prinia,2,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Barn Swallow,10,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Pacific Swallow,1,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Striated Swallow,1,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Light-vented Bulbul,-1,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Black Bulbul (Gray-winged),3,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Vinous-throated Parrotbill,2,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Swinhoe's White-eye,-1,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Rufous-capped Babbler,5,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Taiwan Scimitar-Babbler,3,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Common Myna,3,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Javan Myna,10,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Oriental Magpie-Robin,2,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Chestnut Munia,2,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Eurasian Tree Sparrow,-1,/view/checklist/S58219412
L3949628,2019-7-7,Kevin Chao,Common Greenshank,1,/view/checklist/S57989927
L3949628,2019-7-7,Kevin Chao,Black Kite,1,/view/checklist/S57989927
L3949628,2019-6-9,Sung Ming Chen,Oriental Turtle-Dove,3,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,White-breasted Waterhen,4,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Yellow Bittern,1,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Little Egret,11,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Cattle Egret,15,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Black-crowned Night-Heron,6,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,African Sacred Ibis,20,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Crested Goshawk,2,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Black-naped Monarch,2,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Plain Prinia,1,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Light-vented Bulbul,8,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Black Bulbul,3,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Vinous-throated Parrotbill,6,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Swinhoe's White-eye,9,/view/checklist/S57217655
L2329696,2019-9-13,Mark Stevenson,Oriental Turtle-Dove,7,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Red Collared-Dove,1,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Eurasian Moorhen,3,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Eurasian Coot,1,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Black-winged Stilt,6,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Pacific Golden-Plover,2,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Little Ringed Plover,2,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Gray Heron,8,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Great Egret,1,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Intermediate Egret,3,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Great/Intermediate Egret,-1,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Chinese Egret,2,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Cattle Egret,2,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,white egret sp.,-1,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Black-crowned Night-Heron,9,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,African Sacred Ibis,35,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Taiwan Barbet,3,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Gray Treepie,7,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Plain Prinia,1,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Light-vented Bulbul,-1,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Swinhoe's White-eye,-1,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Javan Myna,2,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,White-rumped Munia,2,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Scaly-breasted Munia,5,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Eurasian Tree Sparrow,4,/view/checklist/S59725288
L2329696,2019-9-7,Peter Kyne,Eastern Spot-billed Duck,15,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Oriental Turtle-Dove,10,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Spotted Dove,1,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Eurasian Moorhen,4,/view/checklist/S59570864
